CountryCode,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
URS,209035000,222130000,235460000,244700000,257720000,261710000,276156000,285610000,,,,,,
EUN,209035000,222130000,235460000,244700000,257720000,261710000,276156000,285610000,,,,,,
KSA,4086539,4677404,5387486,6393894,7818613,9740599,12484967,15155223,17378833,19131578,20764312,23228890,25940770,29086357
SEN,3206749,3580312,4013539,4525114,5064674,5592646,6289327,7107976,8029725,8974077,9884052,10955944,12203957,13703513
SRB,,,,,,,,,7646424,7617794,7516346,7463157,7350222,7199077
SCG,,,,,,,,,8181465,8170877,8087471,8052324,7957431,7824328
SIN,1646400,1841600,2012000,2152400,2293300,2413945,2732221,2846108,3230698,3670704,4027887,4166664,4839396,5312437
SVK,4068095,4327341,4483915,4596622,4789507,4979815,5127097,5250596,5305016,5373361,5388720,5372280,5379233,5407579
SLO,1584720,1632114,1704546,1752233,1820249,1901315,1932154,1995196,1996498,1988628,1988925,1997012,2021316,2057159
RSA,17396367,19308166,21374931,23736489,26354140,29077143,32204952,35195598,38646788,42210216,44896856,,,
ESP,30455000,31609195,33113134,34604469,36137812,37491165,38330364,38766939,39157685,39889852,40567864,42921895,45954106,46773055
SRI,9896000,10903000,11992000,12861000,13717000,14747000,15583000,16593000,17524000,18210000,18655000,19228000,19817000,20425000
SUD,7544491,8503994,9639840,10974622,12578407,14507468,16658054,18866319,21701476,24786190,27250535,30186341,32955496,35990192
SUR,289966,322997,359733,371324,361364,362777,367660,391391,422763,450036,472390,493630,515148,537077
SWE,7484656,7661354,7912273,8122300,8222286,8310531,8336605,8436489,8668067,8840998,8872109,8993531,9219637,9519374
SUI,5327827,5789228,6067714,6260956,6302504,6319408,6441865,6593386,6875364,7071850,7184250,7389625,7647675,7996861
SYR,4573512,5200336,5935860,6800141,7794662,8930774,10293049,11719071,13187085,14755286,16410848,17806638,20325443,20420701
TPE,11505000,12106740,12708480,13310220,13911960,14513700,15115440,15717180,16318920,17522400,18725880,19929360,21132840,22336320
TJK,2087038,2402455,2750894,3111264,3487644,3905413,4397525,5001110,5502976,5849540,6216205,6712841,7309728,7995062
TAN,10074507,11339097,12787489,14506617,16493305,18683157,21173603,23909954,27219619,30811854,34178042,38249984,43270144,49082997
THA,27397175,30881332,34790945,39061994,43386841,47385323,51108082,54912334,57837878,60151472,62958021,65002231,66545760,67843979
TOG,1580513,1662073,1945780,2247582,2464455,2720839,3140237,3581928,3973327,4398238,4970367,5534598,6161796,6859482
TGA,61601,71757,81097,86347,89254,93007,93842,94667,95496,96369,98082,100406,103005,104951
TRI,848479,903275,931468,968741,1025658,1085308,1155695,1204893,1237487,1258364,1267984,1290535,1315372,1341588
TUN,4176266,4458611,4842167,5287543,5781796,6368167,7127941,7871459,8603225,9256037,9699197,10017601,10407336,10886668
TUR,27472331,30244232,33256432,36587225,40189511,43975921,48114105,52053704,55748875,59423208,63240121,67007855,70440032,74569867
UGA,6788214,7746198,8872920,9988380,11139833,12549540,14174470,16262533,18652889,21202118,24039274,27568436,31663896,36306796
UKR,42662149,44794327,46409002,47783011,49036456,49968812,50754000,51521000,52150266,51057189,49175848,47451600,46258200,45593300
UAE,92634,138529,183194,332760,646943,1042384,1318478,1655849,2086639,2571020,3154925,4087931,6894278,8900453
USA,180671000,191889000,200706000,209896000,218035000,227225000,235825000,244499000,256514000,269394000,282162411,292805298,304093966,313998379
URU,2538651,2665390,2774774,2821439,2841429,2915778,2992645,3069099,3154855,3248035,3321245,3324096,3350824,3396777
UZB,8549493,9788986,11323095,12828625,14279120,15939744,17659975,19501225,21449000,23225000,24650400,25864350,27302800,29774500
VIE,34743000,37574000,40856000,44758000,49158000,53700000,57692000,63263000,68450100,73156700,77630900,81436400,85118700,88809200
ISV,32000,41300,54600,76000,96000,97000,108000,104500,105711,108093,108639,107950,107091,105275
ZAM,3044846,3452942,3912085,4469895,5139030,5889230,6738765,7600072,8452275,9394304,10531221,11731746,13082517,14699937
ZIM,3747369,4269863,4851431,5535874,6308300,7164172,8342195,9604302,10682868,11518262,12222251,12777511,13558469,14710826
IOP,,,,,,,,,,,,,,
